period,side,latency_bin,candidates,pnl,mean_pnl,win_rate
holdout,no,2-4,7,-4.822773822568917,-0.6889676889384166,0.42857142857142855
holdout,no,4-6,11,-6.311239106360438,-0.5737490096691308,0.5454545454545454
holdout,no,6-8,9,-29.401429309333423,-3.266825478814825,0.2222222222222222
holdout,no,8-10,6,-14.837878787878788,-2.472979797979798,0.16666666666666666
holdout,yes,0-2,2,0.8366308648954219,0.41831543244771097,1.0
holdout,yes,2-4,12,-43.309078503196154,-3.609089875266346,0.3333333333333333
holdout,yes,4-6,13,-41.08525733525734,-3.1604044104044107,0.38461538461538464
holdout,yes,6-8,14,-14.10938587556235,-1.007813276825882,0.42857142857142855
holdout,yes,8-10,15,-21.476046176046175,-1.4317364117364118,0.2
pre_holdout,no,0-2,3,-6.122327285117984,-2.0407757617059947,0.0
pre_holdout,no,2-4,17,-41.33046629071674,-2.431203899453926,0.23529411764705882
pre_holdout,no,4-6,33,-62.487030637858474,-1.8935463829654082,0.30303030303030304
pre_holdout,no,6-8,43,-44.06004664341176,-1.0246522475212037,0.4186046511627907
pre_holdout,no,8-10,40,-45.73792066810492,-1.143448016702623,0.575
pre_holdout,yes,0-2,3,-9.047619047619047,-3.015873015873016,0.3333333333333333
pre_holdout,yes,2-4,23,15.646486407961797,0.6802820177374694,0.21739130434782608
pre_holdout,yes,4-6,39,-105.03437622816841,-2.6931891340556002,0.3333333333333333
pre_holdout,yes,6-8,43,51.81834211530669,1.2050777236117836,0.3488372093023256
pre_holdout,yes,8-10,39,-52.98071202381547,-1.358479795482448,0.358974358974359
